participant_id,account_id,session_id,mode,age_group,gender,total_tasks,answered_tasks,solved_tasks,accuracy_total,accuracy_answered,answered_rate,mean_rt_ms,median_rt_ms,p90_rt_ms,first_level,last_level,max_level,level_gain,completed_batches,task_span_minutes
participant_05,zzzzzz,s1774307196_zzzzzz,baseline,25-28,female,400,386,316,0.79,0.8186528497409327,0.965,1801.5,1553.0,3000.5,1.0,8.0,10.0,7.0,40,19.458335366666667
participant_06,sqrrl,s1774307419_sqrrl,baseline,25-28,male,374,360,313,0.8368983957219251,0.8694444444444445,0.9625668449197861,1743.5777777777778,1447.0,3188.5000000000005,1.0,10.0,10.0,9.0,38,17.032514583333334
participant_07,dashakar,s1774887445_dashakar,baseline,25-28,female,337,327,295,0.8753709198813057,0.9021406727828746,0.9703264094955489,1984.5259938837921,1735.0,3339.0000000000005,1.0,10.0,10.0,9.0,34,12.936107733333333
participant_08,book,s1774895235_book,baseline,29-34,male,602,590,513,0.8521594684385382,0.8694915254237288,0.9800664451827242,1799.7305084745763,1458.0,3110.3,1.0,10.0,10.0,9.0,61,20.582485333333334
participant_09,cliawerda,s1774898252_cliawerda,baseline,25-28,female,384,355,323,0.8411458333333334,0.9098591549295775,0.9244791666666666,1923.625352112676,1605.0,3394.8,1.0,10.0,10.0,9.0,39,14.350821349999999
participant_10,serka,s1774770029_serka,baseline,35-39,male,100,90,67,0.67,0.7444444444444445,0.9,2535.2555555555555,2739.0,3592.3,1.0,3.0,3.0,2.0,10,5.914283383333333
participant_11,arteiy.karpov.13,s1774547433_arteiy.karpov.13,baseline,0-17,male,230,188,151,0.6565217391304348,0.8031914893617021,0.8173913043478261,2675.5797872340427,2638.0,3833.1000000000004,1.0,6.0,6.0,5.0,23,51.04345171666667
participant_12,sasha,s1772461629_sasha,baseline,25-28,male,108,101,88,0.8148148148148148,0.8712871287128713,0.9351851851851852,2552.267326732673,2281.0,3982.0,1.0,6.0,6.0,5.0,11,5.6514482333333325
participant_12,kakashik02,s1774737870_kakashik02,baseline,25-28,male,186,185,170,0.9139784946236559,0.918918918918919,0.9946236559139785,2015.7027027027027,1756.0,3297.4,1.0,10.0,10.0,9.0,19,6.4246292333333335
participant_13,lsplsp2026.,s1774736024_lsplsp2026.,baseline,18-20,female,299,262,230,0.7692307692307693,0.8778625954198473,0.8762541806020067,2466.1450381679388,2366.0,3525.3,1.0,10.0,10.0,9.0,30,20.37934175
participant_14,dunduk,s1774724233_dunduk,baseline,21-24,male,774,755,683,0.8824289405684754,0.904635761589404,0.975452196382429,1991.4807947019867,1794.0,3296.2000000000003,1.0,10.0,10.0,9.0,78,37.451041016666665
participant_15,barsik_03,s1774695580_barsik_03,baseline,21-24,male,110,101,86,0.7818181818181819,0.8514851485148515,0.9181818181818182,2202.6831683168316,2159.0,3389.0,1.0,5.0,5.0,4.0,11,6.372536516666667
participant_16,egor,s1774707740_egor,baseline,18-20,male,332,321,242,0.7289156626506024,0.7538940809968847,0.9668674698795181,1776.9657320872275,1621.0,3383.0,1.0,10.0,10.0,9.0,34,32.13882221666667
participant_17,hoki003,s1774780742_hoki003,baseline,18-20,male,382,377,352,0.9214659685863874,0.9336870026525199,0.9869109947643979,2060.3580901856762,1793.0,3378.600000000001,1.0,10.0,10.0,9.0,39,3595.8880807666665
participant_18,katya_123,s1773856428_katya_123,baseline,25-28,female,493,462,409,0.8296146044624746,0.8852813852813853,0.9371196754563894,2245.339826839827,2089.0,3343.7000000000003,1.0,10.0,10.0,9.0,50,23.520051483333337
participant_19,rabbit,s1774515736_rabbit,baseline,25-28,male,100,99,88,0.88,0.8888888888888888,0.99,2228.7272727272725,2079.0,3335.4,1.0,6.0,6.0,5.0,10,5.8286104666666665
